discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
,,,,,,,,,,,,,
-10.7,-10.7,0.000531266,,,-9.9,,,,,,,discharge,559.4604167
-286.5,-297.2,0.014756282,,,248.7,,,,,,,charge,544.4642778
-208.7,-505.9,0.025118449,,,258.4,,,,,,,,
-272.2,-778.1,0.038633455,,,242.3,,,,,,,,
-315.7,-1093.8,0.054308281,,,259,,,,,,,,
-252.6,-1346.4,0.066850127,,,255.9,,,,,,,,
-187.2,-1533.6,0.076144797,,,234.1,,,,,,,,
-241.3,-1774.9,0.088125587,,,256,,,,,,,,
-292.9,-2067.8,0.10266837,,,246.6,,,,,,,,
-225.1,-2292.9,0.113844813,,,237.8,,,,,,,,
-298.5,-2591.4,0.128665641,,,260.8,,,,,,,,
-248.8,-2840.2,0.141018814,,,245.9,,,,,,,,
-293.1,-3133.3,0.155571527,,,269.3,,,,,,,,
-221.2,-3354.5,0.166554331,,,264,,,,,,,,
-259.3,-3613.8,0.17942884,,,253.8,,,,,,,,
-265.4,-3879.2,0.192606219,,,248,,,,,,,,
-281.3,-4160.5,0.20657305,,,241.9,,,,,,,,
-194.7,-4355.2,0.216240102,,,266.6,,,,,,,,
-263.5,-4618.7,0.229323145,,,229.6,,,,,,,,
-259.2,-4877.9,0.242192688,,,256.1,,,,,,,,
-203.6,-5081.5,0.252301635,,,249.5,,,,,,,,
-255,-5336.5,0.264962644,,,244,,,,,,,,
-260.4,-5596.9,0.277891768,,,268,,,,,,,,
-251.4,-5848.3,0.290374034,,,232.7,,,,,,,,
-250.9,-6099.2,0.302831473,,,256.4,,,,,,,,
-248.9,-6348.1,0.315189611,,,254.5,,,,,,,,
-245.3,-6593.4,0.327369005,,,248.4,,,,,,,,
-246.9,-6840.3,0.339627841,,,255.9,,,,,,,,
-300.6,-7140.9,0.354552936,,,254.6,,,,,,,,
-237.2,-7378.1,0.366330157,,,235.2,,,,,,,,
-243.4,-7621.5,0.378415214,,,260.8,,,,,,,,
-265.7,-7887.2,0.391607489,,,255.8,,,,,,,,
-232.9,-8120.1,0.40317121,,,251.5,,,,,,,,
-240.4,-8360.5,0.415107314,,,247.9,,,,,,,,
-223.2,-8583.7,0.426189421,,,242.7,,,,,,,,
-235.9,-8819.6,0.437902096,,,237.9,,,,,,,,
-164.6,-8984.2,0.446074653,,,263.4,,,,,,,,
-287.4,-9271.6,0.460344355,,,235.4,,,,,,,,
-287.8,-9559.4,0.474633917,,,257.8,,,,,,,,
-224.5,-9783.9,0.48578057,,,254.1,,,,,,,,
-288,-10071.9,0.500080062,,,251,,,,,,,,
-246.1,-10318,0.512299177,,,246.2,,,,,,,,
-162.5,-10480.5,0.520367467,,,243.8,,,,,,,,
-253.5,-10734,0.532954,,,258.7,,,,,,,,
-285.7,-11019.7,0.547139295,,,268.6,,,,,,,,
-230.8,-11250.5,0.558598749,,,248.4,,,,,,,,
-297,-11547.5,0.573345101,,,260.5,,,,,,,,
-288.1,-11835.6,0.587649558,,,256.1,,,,,,,,
-270.6,-12106.2,0.601085123,,,246.1,,,,,,,,
